"id";"rw";"rt";"dusun";"hak_pilih_2019";"luas_ha";"luas_m2";"topografi";"created_at";"updated_at";"deleted_at"
"001001";"001";"001";"KRAJAN I";"431";"22.52825117";"225282.5117";"3";"2020-10-03 10:23:02";"2020-10-03 10:23:02";NULL
"001002";"001";"002";"KRAJAN I";"298";"2.321642786";"23216.42786";"3";"2020-10-03 10:23:02";"2020-10-03 10:23:02";NULL
"001003";"001";"003";"KRAJAN I";"349";"6.774793118";"67747.93118";"3";"2020-10-03 10:23:02";"2020-10-03 10:23:02";NULL
"001028";"001";"028";"GADING ELOK II";"208";"1.967827674";"19678.27674";"3";"2020-10-03 10:23:02";"2020-10-03 10:23:02";NULL
"001029";"001";"029";"GADING ELOK II";"174";"1.856532864";"18565.32864";"3";"2020-10-03 10:23:02";"2020-10-03 10:23:02";NULL
"001030";"001";"030";"GADING ELOK II";"161";"1.231581779";"12315.81779";"3";"2020-10-03 10:23:02";"2020-10-03 10:23:02";NULL
"001031";"001";"031";"GADING ELOK II";"103";"1.683383761";"16833.83761";"3";"2020-10-03 10:23:02";"2020-10-03 10:23:02";NULL
"001032";"001";"032";"PERUM GRAND CITY";"3";"4.302701391";"43027.01391";"3";"2020-10-03 10:23:02";"2020-10-03 10:23:02";NULL
"002004";"002";"004";"KRAJAN II";"304";"2.42282507";"24228.2507";"3";"2020-10-03 10:23:02";"2020-10-03 10:23:02";NULL
"002005";"002";"005";"KRAJAN II";"221";"1.988201013";"19882.01013";"3";"2020-10-03 10:23:02";"2020-10-03 10:23:02";NULL
"002006";"002";"006";"KRAJAN II";"181";"1.883282312";"18832.82312";"3";"2020-10-03 10:23:02";"2020-10-03 10:23:02";NULL
"002007";"002";"007";"KRAJAN II";"245";"3.932098442";"39320.98442";"3";"2020-10-03 10:23:02";"2020-10-03 10:23:02";NULL
"002008";"002";"008";"KRAJAN II";"149";"8.599620509";"85996.20509";"3";"2020-10-03 10:23:02";"2020-10-03 10:23:02";NULL
"002009";"002";"009";"KRAJAN II";"35";"26.40409242";"264040.9242";"3";"2020-10-03 10:23:02";"2020-10-03 10:23:02";NULL
"003010";"003";"010";"SUKAMAJU";"498";"7.83632269";"78363.2269";"3";"2020-10-03 10:23:02";"2020-10-03 10:23:02";NULL
"003011";"003";"011";"SUKAMAJU";"373";"3.323593605";"33235.93605";"3";"2020-10-03 10:23:02";"2020-10-03 10:23:02";NULL
"003012";"003";"012";"SUKAMAJU";"297";"8.709896179";"87098.96179";"3";"2020-10-03 10:23:02";"2020-10-03 10:23:02";NULL
"003013";"003";"013";"SUKAMAJU";"387";"9.550509752";"95505.09752";"3";"2020-10-03 10:23:02";"2020-10-03 10:23:02";NULL
"004014";"004";"014";"SUKAMULYA";"332";"2.485630978";"24856.30978";"3";"2020-10-03 10:23:02";"2020-10-03 10:23:02";NULL
"004015";"004";"015";"SUKAMULYA";"283";"7.62239889";"76223.9889";"3";"2020-10-03 10:23:02";"2020-10-03 10:23:02";NULL
"004016";"004";"016";"SUKAMULYA";"354";"4.287831329";"42878.31329";"3";"2020-10-03 10:23:02";"2020-10-03 10:23:02";NULL
"004017";"004";"017";"SUKAMULYA";"352";"16.41378842";"164137.8842";"3";"2020-10-03 10:23:02";"2020-10-03 10:23:02";NULL
"005018";"005";"018";"WARNAJAYA";"328";"14.51934311";"145193.4311";"3";"2020-10-03 10:23:02";"2020-10-03 10:23:02";NULL
"005019";"005";"019";"WARNAJAYA";"226";"4.896170162";"48961.70162";"3";"2020-10-03 10:23:02";"2020-10-03 10:23:02";NULL
"005020";"005";"020";"WARNAJAYA";"290";"10.17629899";"101762.9899";"3";"2020-10-03 10:23:02";"2020-10-03 10:23:02";NULL
"005021";"005";"021";"WARNAJAYA";"203";"2.204758586";"22047.58586";"3";"2020-10-03 10:23:02";"2020-10-03 10:23:02";NULL
"005022";"005";"022";"WARNAJAYA";"142";"5.528551946";"55285.51946";"3";"2020-10-03 10:23:02";"2020-10-03 10:23:02";NULL
"006023";"006";"023";"BUKAPER";"217";"1.469429353";"14694.29353";"3";"2020-10-03 10:23:02";"2020-10-03 10:23:02";NULL
"006024";"006";"024";"BUKAPER";"178";"1.670364924";"16703.64924";"3";"2020-10-03 10:23:02";"2020-10-03 10:23:02";NULL
"006025";"006";"025";"BUKAPER";"213";"1.879949697";"18799.49697";"3";"2020-10-03 10:23:02";"2020-10-03 10:23:02";NULL
"006026";"006";"026";"BUKAPER";"125";"1.048286003";"10482.86003";"3";"2020-10-03 10:23:02";"2020-10-03 10:23:02";NULL
"006027";"006";"027";"BUKAPER";"72";"0.901318557";"9013.18557";"3";"2020-10-03 10:23:02";"2020-10-03 10:23:02";NULL
